Iterations,Total_loss,Avg_loss,Learning rate,Time
5082,2.191225,2.200234,0.001,4.740017
5083,1.600316,2.140242,0.001,4.291944
5084,1.688638,2.095082,0.001,4.479188
5085,2.202565,2.10583,0.001,4.637763
5086,2.241219,2.119369,0.001,4.753231
5087,2.071339,2.114566,0.001,4.641206
5088,1.922471,2.095356,0.001,4.463225
5089,2.11694,2.097515,0.001,4.635279
5090,2.34163,2.121926,0.001,4.618591
5091,2.252374,2.134971,0.001,4.774304
5092,2.086496,2.130124,0.001,4.703305
5093,3.04325,2.221436,0.001,5.059233
5094,1.661643,2.165457,0.001,4.518938
5095,2.033057,2.152217,0.001,4.450667
5096,2.771291,2.214125,0.001,4.90626
5097,2.111582,2.20387,0.001,4.562714
5098,2.459944,2.229478,0.001,4.761168
5099,2.375273,2.244057,0.001,4.771733
5100,2.968101,2.316462,0.001,4.940718
5101,3.070209,2.391836,0.001,5.089209
5102,2.782462,2.430899,0.001,4.939207
5103,2.292375,2.417046,0.001,4.721411
5104,2.431125,2.418454,0.001,4.699249
5105,2.508718,2.427481,0.001,4.849574
5106,2.089736,2.393706,0.001,4.425004
5107,2.840333,2.438369,0.001,5.178154
5108,1.678877,2.36242,0.001,4.507792
5109,2.584274,2.384605,0.001,4.695516
5110,1.97424,2.343569,0.001,4.444119
5111,2.209867,2.330199,0.001,4.669998
5112,2.255792,2.322758,0.001,4.756454
5113,3.163386,2.406821,0.001,5.07538
5114,2.003671,2.366506,0.001,4.600306
5115,2.547666,2.384622,0.001,4.68276
5116,2.257468,2.371907,0.001,4.539026
5117,2.319983,2.366714,0.001,4.722836
5118,2.526479,2.382691,0.001,4.719547
5119,2.16796,2.361217,0.001,4.540076
5120,3.199901,2.445086,0.001,5.165878
5121,2.219411,2.422518,0.001,4.77263
5122,2.823967,2.462663,0.001,4.962103
5123,2.302891,2.446686,0.001,4.775512
5124,2.667139,2.468731,0.001,4.871097
5125,2.923019,2.51416,0.001,4.949349
5126,2.555645,2.518309,0.001,4.780425
5127,2.594516,2.525929,0.001,4.971515
5128,3.018072,2.575144,0.001,5.052031
5129,2.10893,2.528522,0.001,5.463566
5130,2.073752,2.483045,0.001,5.43356
5131,2.011868,2.435928,0.001,5.775907
5132,1.746678,2.367003,0.001,5.287331
5133,2.42171,2.372473,0.001,5.89912
5134,2.338855,2.369112,0.001,5.67691
5135,2.146468,2.346847,0.001,5.387674
5136,2.226362,2.334799,0.001,5.777528
5137,2.787575,2.380076,0.001,6.194353
5138,2.666034,2.408672,0.001,5.822809
5139,2.09569,2.377374,0.001,5.572337
5140,2.423466,2.381983,0.001,5.988488
5141,1.787392,2.322524,0.001,5.731783
5142,2.406263,2.330898,0.001,6.812098
5143,2.901013,2.38791,0.001,7.520385
5144,1.512402,2.300359,0.001,6.92909
5145,3.021051,2.372428,0.001,7.997213
5146,2.455109,2.380696,0.001,6.785326
5147,1.92102,2.334729,0.001,5.321864
5148,2.610179,2.362274,0.001,5.834844
5149,1.585223,2.284569,0.001,5.125114
5150,2.611373,2.317249,0.001,5.881101
5151,1.802112,2.265735,0.001,5.22497
5152,2.50948,2.29011,0.001,5.663849
5153,1.977434,2.258842,0.001,5.398161
5154,2.461107,2.279069,0.001,5.610106
5155,2.283196,2.279481,0.001,5.604147
5156,2.015162,2.253049,0.001,5.571185
5157,2.155957,2.24334,0.001,5.557547
5158,2.489092,2.267915,0.001,5.370363
5159,1.948167,2.23594,0.001,5.206686
5160,2.620035,2.27435,0.001,5.561325
5161,2.064325,2.253347,0.001,5.392027
5162,2.112539,2.239267,0.001,5.213919
5163,2.923547,2.307695,0.001,5.533244
5164,1.942142,2.271139,0.001,5.245773
5165,2.14847,2.258873,0.001,5.495856
5166,2.455066,2.278492,0.001,5.686229
5167,2.540065,2.304649,0.001,5.600809
5168,2.576746,2.331859,0.001,5.559625
5169,2.720959,2.370769,0.001,5.495823
5170,2.601202,2.393812,0.001,5.479198
5171,2.405298,2.394961,0.001,5.608398
5172,2.660357,2.4215,0.001,5.519311
5173,2.11039,2.390389,0.001,5.305043
5174,2.630645,2.414415,0.001,5.502364
5175,2.686201,2.441593,0.001,5.611732
5176,2.211835,2.418617,0.001,5.376476
5177,2.406605,2.417416,0.001,5.303405
5178,3.159731,2.491648,0.001,5.982856
5179,2.678406,2.510324,0.001,5.465483
5180,2.521235,2.511415,0.001,5.605202
5181,1.885617,2.448835,0.001,5.137522
5182,2.535938,2.457545,0.001,5.778259
5183,3.198745,2.531665,0.001,5.931674
5184,2.081192,2.486618,0.001,5.240648
5185,2.489967,2.486953,0.001,5.619689
5186,2.188973,2.457155,0.001,6.28417
5187,2.439659,2.455405,0.001,5.65886
5188,1.928075,2.402672,0.001,5.191579
5189,3.634201,2.525825,0.001,6.065768
5190,2.440582,2.517301,0.001,5.61925
5191,2.481467,2.513717,0.001,5.87036
5192,1.747129,2.437058,0.001,5.36235
5193,1.903999,2.383753,0.001,5.648713
5194,2.653037,2.410681,0.001,6.670402
5195,3.413564,2.510969,0.001,5.708479
5196,2.851999,2.545072,0.001,4.975282
5197,1.934825,2.484048,0.001,4.563816
5198,2.161314,2.451774,0.001,4.756222
5199,2.424899,2.449087,0.001,4.683341
5200,3.399566,2.544135,0.001,5.112577
5201,2.593201,2.549042,0.001,4.862563
5202,2.120673,2.506205,0.001,4.513789
5203,2.332159,2.4888,0.001,4.746048
5204,2.601644,2.500084,0.001,4.626983
5205,2.154051,2.465481,0.001,4.69713
5206,3.077129,2.526646,0.001,4.934511
5207,2.189009,2.492882,0.001,4.65247
5208,2.56267,2.499861,0.001,4.739788
5209,2.310715,2.480946,0.001,4.682275
5210,3.138201,2.546672,0.001,5.12402
5211,2.564188,2.548424,0.001,4.759048
5212,2.274842,2.521065,0.001,4.586498
5213,2.742157,2.543175,0.001,5.020054
5214,3.114409,2.600298,0.001,4.979762
5215,1.624136,2.502682,0.001,4.282308
5216,2.34874,2.487288,0.001,4.696059
5217,2.125658,2.451124,0.001,4.614634
5218,1.978114,2.403823,0.001,4.549766
5219,2.186063,2.382047,0.001,4.718024
5220,1.946627,2.338505,0.001,4.311168
5221,2.332872,2.337942,0.001,4.60422
5222,2.108004,2.314948,0.001,4.675888
5223,1.74654,2.258107,0.001,4.499806
5224,2.756824,2.307979,0.001,4.879876
5225,3.133808,2.390562,0.001,5.102279
5226,2.157566,2.367262,0.001,4.628159
5227,2.225419,2.353078,0.001,4.717939
5228,2.166153,2.334386,0.001,4.595972
5229,2.290655,2.330013,0.001,4.733115
5230,2.177679,2.314779,0.001,4.518155
5231,2.412243,2.324526,0.001,4.661398
5232,2.649275,2.357001,0.001,4.717333
5233,2.91794,2.413095,0.001,4.884458
5234,2.279458,2.399731,0.001,4.683085
5235,2.078613,2.367619,0.001,4.488957
5236,1.789008,2.309758,0.001,4.456976
5237,1.747527,2.253535,0.001,4.362891
5238,2.888271,2.317008,0.001,4.932823
5239,2.486303,2.333938,0.001,4.84172
5240,1.92975,2.293519,0.001,4.584392
5241,2.262044,2.290372,0.001,4.705654
5242,1.79827,2.241162,0.001,4.520533
5243,2.509206,2.267966,0.001,4.795426
5244,2.132278,2.254397,0.001,4.646738
5245,2.404498,2.269408,0.001,4.740616
5246,2.315357,2.274003,0.001,4.600559
5247,2.35911,2.282513,0.001,4.67437
5248,2.472257,2.301488,0.001,4.823246
5249,2.88236,2.359575,0.001,4.903147
5250,2.279577,2.351575,0.001,4.647244
5251,2.997774,2.416195,0.001,4.72785
5252,2.323194,2.406895,0.001,4.721836
5253,2.852726,2.451478,0.001,4.869778
5254,2.59297,2.465627,0.001,4.865558
5255,2.485059,2.46757,0.001,4.691233
5256,2.517224,2.472536,0.001,4.544244
5257,2.789886,2.504271,0.001,4.692515
5258,2.299533,2.483797,0.001,4.524103
5259,3.176395,2.553057,0.001,5.044134
5260,2.728901,2.570641,0.001,4.6949
5261,2.932943,2.606871,0.001,4.862505
5262,2.101254,2.556309,0.001,4.482775
5263,2.267864,2.527465,0.001,4.456707
5264,3.261132,2.600832,0.001,5.000078
5265,1.621408,2.502889,0.001,4.393144
5266,2.146824,2.467283,0.001,4.527411
5267,3.58616,2.57917,0.001,5.039973
5268,2.845672,2.605821,0.001,4.826635
5269,2.445436,2.589782,0.001,4.642075
5270,2.459656,2.57677,0.001,4.674752
5271,2.813224,2.600415,0.001,4.711917
5272,2.131371,2.553511,0.001,4.645679
5273,2.304384,2.528598,0.001,4.564612
5274,3.029424,2.578681,0.001,5.063901
5275,2.447003,2.565513,0.001,4.65237
5276,2.272761,2.536238,0.001,4.412531
5277,2.384204,2.521034,0.001,4.628154
5278,3.233863,2.592317,0.001,5.043497
5279,2.592826,2.592368,0.001,4.710148
5280,3.323374,2.665469,0.001,5.124722
5281,1.752651,2.574187,0.001,4.549044
5282,2.278839,2.544652,0.001,4.675712
5283,3.385394,2.628726,0.001,5.02394
5284,2.214769,2.587331,0.001,4.671651
5285,2.759906,2.604588,0.001,4.91609
5286,1.996898,2.543819,0.001,4.574777
5287,2.672235,2.556661,0.001,4.811767
5288,2.182917,2.519286,0.001,4.513326
5289,2.352765,2.502634,0.001,4.593815
5290,2.533166,2.505687,0.001,4.980081
5291,2.150873,2.470206,0.001,4.710293
5292,1.952287,2.418414,0.001,4.547426
5293,2.373521,2.413925,0.001,4.625867
5294,2.689814,2.441514,0.001,4.896533
5295,2.152483,2.412611,0.001,4.435162
5296,1.800521,2.351402,0.001,4.335561
5297,2.359501,2.352211,0.001,4.734172
5298,2.55524,2.372514,0.001,4.734583
5299,1.994696,2.334733,0.001,4.41411
5300,2.900237,2.391283,0.001,4.993662
5301,2.088677,2.361022,0.001,4.665328
5302,2.993206,2.424241,0.001,4.973748
5303,2.543129,2.43613,0.001,4.843172
5304,2.100684,2.402585,0.001,4.656994
5305,2.167466,2.379073,0.001,4.574124
5306,1.780391,2.319205,0.001,4.404572
5307,2.508587,2.338143,0.001,4.757972
5308,2.175139,2.321843,0.001,4.619818
5309,2.452994,2.334958,0.001,4.769276
5310,2.10074,2.311536,0.001,4.635594
5311,1.890294,2.269412,0.001,4.427886
5312,1.983817,2.240852,0.001,4.466109
5313,2.918174,2.308584,0.001,5.041058
5314,2.531876,2.330914,0.001,4.80217
5315,2.822302,2.380052,0.001,5.114597
5316,2.19714,2.361761,0.001,4.741288
5317,2.451068,2.370692,0.001,4.823191
5318,2.604339,2.394057,0.001,4.614793
5319,3.045389,2.45919,0.001,4.962594
5320,2.236434,2.436914,0.001,4.700917
5321,2.412198,2.434443,0.001,4.772836
5322,2.671119,2.45811,0.001,4.81448
