Iterations,Total_loss,Avg_loss,Learning rate,Time
191,23.958279,24.193115,1e-06,11.674341
192,18.798191,23.653624,1e-06,11.360736
193,30.078445,24.296106,1e-06,12.032805
194,19.780499,23.844545,1e-06,11.520568
195,22.213196,23.68141,1e-06,11.640147
196,19.737959,23.287066,1e-06,11.396069
197,20.24128,22.982487,2e-06,11.66579
198,20.69281,22.753519,2e-06,11.515021
199,23.660999,22.844267,2e-06,11.949169
200,19.541292,22.513969,2e-06,11.711189
201,23.715448,22.634117,2e-06,11.483793
202,17.447594,22.115465,2e-06,11.362139
203,18.475267,21.751446,2e-06,11.644736
204,16.130497,21.18935,2e-06,11.354224
205,23.096088,21.380024,2e-06,11.824437
206,18.30323,21.072344,2e-06,11.647624
207,18.220804,20.787189,2e-06,11.413669
208,19.44351,20.652821,2e-06,11.494657
209,17.910185,20.378557,2e-06,11.558527
210,19.942316,20.334932,2e-06,11.670667
211,20.702072,20.371647,2e-06,11.693577
212,18.906088,20.22509,2e-06,11.42854
213,15.735182,19.7761,2e-06,11.353786
214,19.46896,19.745386,2e-06,11.531898
215,19.767828,19.747631,2e-06,12.714826
216,18.795483,19.652416,2e-06,11.990263
217,20.168665,19.704041,2e-06,11.72184
218,15.562922,19.289928,2e-06,11.37279
219,23.621996,19.723135,2e-06,12.039778
220,15.029452,19.253767,2e-06,11.274812
221,20.162834,19.344673,2e-06,11.831744
222,13.357369,18.745943,2e-06,11.13552
223,19.296722,18.801022,2e-06,11.675762
224,11.446581,18.065578,3e-06,11.048808
225,17.396584,17.998678,3e-06,11.653071
226,19.511837,18.149994,3e-06,11.829636
227,17.264277,18.061422,3e-06,11.450613
228,12.041253,17.459406,3e-06,11.208812
229,24.158495,18.129314,3e-06,12.03555
230,14.941142,17.810497,3e-06,11.488562
231,17.061514,17.7356,3e-06,11.643871
232,17.924322,17.754471,3e-06,11.595615
233,14.584743,17.437498,3e-06,11.479377
234,19.490131,17.642761,3e-06,11.911829
235,18.956987,17.774183,3e-06,11.826458
236,18.59642,17.856407,3e-06,11.686239
237,17.656002,17.836367,3e-06,11.519353
238,18.369947,17.889725,3e-06,11.682418
239,16.474627,17.748215,3e-06,11.685426
240,18.032557,17.776649,3e-06,11.693869
241,14.177618,17.416746,3e-06,11.286121
242,17.146566,17.389729,3e-06,11.69391
243,17.444674,17.395224,3e-06,11.671452
244,19.126686,17.568371,4e-06,11.87776
245,14.138378,17.225372,4e-06,11.490566
246,16.620657,17.164902,4e-06,11.764735
247,16.385971,17.087009,4e-06,11.696093
248,12.935406,16.671848,4e-06,11.397264
249,18.757889,16.880453,4e-06,11.661198
250,15.925035,16.784912,4e-06,11.496818
251,20.113272,17.117748,4e-06,11.929291
252,17.501389,17.156113,4e-06,11.560703
253,15.462992,16.986801,4e-06,11.45581
254,15.021587,16.790279,4e-06,11.571509
255,17.280615,16.839314,4e-06,11.767333
256,16.66078,16.821461,4e-06,11.678189
257,11.474486,16.286764,4e-06,11.154856
258,15.060966,16.164185,4e-06,11.668849
259,16.757034,16.223469,4e-06,11.623328
260,18.400244,16.441147,5e-06,11.904403
261,16.560989,16.453131,5e-06,11.747873
262,16.098192,16.417637,5e-06,11.804501
263,20.147345,16.790607,5e-06,11.951551
264,12.98551,16.410097,5e-06,11.505781
265,15.035645,16.272652,5e-06,11.50529
266,17.767767,16.422163,5e-06,11.863207
267,18.421864,16.622133,5e-06,11.760189
268,15.594298,16.51935,5e-06,11.81784
269,14.333808,16.300797,5e-06,11.584417
